,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
31,2024-04-27,15:30,Bundesliga,Matchweek 31,Sat,Home,L,0,3,Werder Bremen,0.6,2.0,54.0,30660.0,Ermedin Demirović,4-1-2-1-2◆,Tobias Welz,Match Report,,13.0,1.0,19.8,0.0,0,0,2024,Augsburg
32,2024-05-04,15:30,Bundesliga,Matchweek 32,Sat,Away,L,1,5,Dortmund,2.5,4.0,39.0,81365.0,Ermedin Demirović,3-4-1-2,Robert Schröder,Match Report,,22.0,3.0,14.3,0.0,0,0,2024,Augsburg
33,2024-05-10,20:30,Bundesliga,Matchweek 33,Fri,Home,L,0,1,Stuttgart,0.6,1.9,24.0,30660.0,Ermedin Demirović,4-3-1-2,Patrick Ittrich,Match Report,,9.0,1.0,18.7,2.0,0,0,2024,Augsburg
34,2024-05-18,15:30,Bundesliga,Matchweek 34,Sat,Away,L,1,2,Leverkusen,1.2,2.4,35.0,30210.0,Ermedin Demirović,4-1-2-1-2◆,Matthias Jöllenbeck,Match Report,,10.0,2.0,16.5,1.0,0,0,2024,Augsburg
1,2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,W,2,0,Heidenheim,2.2,1.2,48.0,22620.0,Koen Casteels,4-3-3,Florian Badstübner,Match Report,,18.0,8.0,15.5,0.0,0,0,2024,Wolfsburg
2,2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,W,2,1,Köln,1.7,0.9,50.0,49500.0,Koen Casteels,4-3-3,Matthias Jöllenbeck,Match Report,,9.0,6.0,13.7,0.0,0,0,2024,Wolfsburg
3,2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Away,L,1,3,Hoffenheim,1.2,2.0,60.0,17500.0,Maximilian Arnold,4-3-3,Felix Zwayer,Match Report,,13.0,7.0,16.7,1.0,0,0,2024,Wolfsburg
4,2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Home,W,2,1,Union Berlin,0.4,1.1,44.0,21917.0,Maximilian Arnold,4-2-3-1,Felix Brych,Match Report,,8.0,3.0,21.4,1.0,0,0,2024,Wolfsburg
5,2023-09-23,15:30,Bundesliga,Matchweek 5,Sat,Away,L,0,1,Dortmund,0.5,1.7,37.0,81365.0,Maximilian Arnold,4-2-3-1,Sven Jablonski,Match Report,,7.0,1.0,20.1,0.0,0,0,2024,Wolfsburg
6,2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Home,W,2,0,Eint Frankfurt,3.2,1.3,54.0,28323.0,Maximilian Arnold,4-2-3-1,Frank Willenborg,Match Report,,17.0,7.0,16.3,1.0,0,1,2024,Wolfsburg
7,2023-10-07,15:30,Bundesliga,Matchweek 7,Sat,Away,L,1,3,Stuttgart,1.2,2.7,41.0,52000.0,Maximilian Arnold,4-2-3-1,Daniel Siebert,Match Report,,12.0,5.0,16.3,1.0,0,0,2024,Wolfsburg
8,2023-10-21,15:30,Bundesliga,Matchweek 8,Sat,Home,L,1,2,Leverkusen,1.4,1.9,42.0,28917.0,Maximilian Arnold,3-4-3,Marco Fritz,Match Report,,18.0,6.0,20.1,1.0,0,0,2024,Wolfsburg
9,2023-10-28,15:30,Bundesliga,Matchweek 9,Sat,Away,L,2,3,Augsburg,1.4,1.4,60.0,28000.0,Maximilian Arnold,4-2-3-1,Daniel Schlager,Match Report,,12.0,5.0,20.9,0.0,1,1,2024,Wolfsburg
11,2023-11-05,15:30,Bundesliga,Matchweek 10,Sun,Home,D,2,2,Werder Bremen,1.6,1.2,56.0,28917.0,Maxence Lacroix,3-4-3,Tobias Reichel,Match Report,,14.0,4.0,17.8,1.0,0,0,2024,Wolfsburg
12,2023-11-10,20:30,Bundesliga,Matchweek 11,Fri,Away,L,0,4,Gladbach,0.5,1.5,53.0,45308.0,Maximilian Arnold,4-4-2,Felix Zwayer,Match Report,,12.0,4.0,20.6,1.0,0,0,2024,Wolfsburg
13,2023-11-25,15:30,Bundesliga,Matchweek 12,Sat,Home,W,2,1,RB Leipzig,0.9,2.7,36.0,25350.0,Koen Casteels,3-4-3,Robert Hartmann,Match Report,,10.0,4.0,17.9,0.0,0,0,2024,Wolfsburg
14,2023-12-02,15:30,Bundesliga,Matchweek 13,Sat,Away,L,1,3,Bochum,1.3,1.5,56.0,24350.0,Koen Casteels,3-4-3,Robert Schröder,Match Report,,16.0,6.0,19.0,1.0,0,0,2024,Wolfsburg
16,2023-12-09,15:30,Bundesliga,Matchweek 14,Sat,Home,L,0,1,Freiburg,1.2,1.1,58.0,20146.0,Maximilian Arnold,3-4-3,Marco Fritz,Match Report,,10.0,2.0,15.8,2.0,0,0,2024,Wolfsburg
17,2023-12-16,15:30,Bundesliga,Matchweek 15,Sat,Away,W,1,0,Darmstadt 98,0.6,0.6,37.0,16900.0,Koen Casteels,3-5-1-1,Robert Hartmann,Match Report,,11.0,2.0,24.2,0.0,0,0,2024,Wolfsburg
18,2023-12-20,20:30,Bundesliga,Matchweek 16,Wed,Home,L,1,2,Bayern Munich,0.3,2.5,39.0,28917.0,Maximilian Arnold,3-1-4-2,Sascha Stegemann,Match Report,,5.0,4.0,21.0,0.0,0,0,2024,Wolfsburg
19,2024-01-13,15:30,Bundesliga,Matchweek 17,Sat,Away,D,1,1,Mainz 05,0.6,0.4,48.0,24000.0,Maximilian Arnold,4-2-3-1,Patrick Ittrich,Match Report,,9.0,4.0,16.2,0.0,0,0,2024,Wolfsburg
20,2024-01-20,15:30,Bundesliga,Matchweek 18,Sat,Away,D,1,1,Heidenheim,1.1,1.1,47.0,15000.0,Maximilian Arnold,4-2-3-1,Timo Gerach,Match Report,,13.0,3.0,16.6,0.0,0,0,2024,Wolfsburg
21,2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Home,D,1,1,Köln,1.5,0.6,52.0,24525.0,Koen Casteels,4-2-3-1,Sören Storks,Match Report,,14.0,4.0,11.1,1.0,0,0,2024,Wolfsburg
22,2024-02-04,15:30,Bundesliga,Matchweek 20,Sun,Home,D,2,2,Hoffenheim,1.7,1.7,45.0,22917.0,Maximilian Arnold,4-4-2,Florian Badstübner,Match Report,,13.0,6.0,16.4,0.0,1,1,2024,Wolfsburg
23,2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Away,L,0,1,Union Berlin,1.3,0.5,58.0,22000.0,Maximilian Arnold,4-4-2,Matthias Jöllenbeck,Match Report,,17.0,4.0,16.5,1.0,0,0,2024,Wolfsburg
24,2024-02-17,15:30,Bundesliga,Matchweek 22,Sat,Home,D,1,1,Dortmund,1.8,1.4,37.0,28917.0,Maximilian Arnold,4-2-3-1,Martin Petersen,Match Report,,11.0,4.0,15.3,0.0,0,0,2024,Wolfsburg
25,2024-02-25,15:30,Bundesliga,Matchweek 23,Sun,Away,D,2,2,Eint Frankfurt,1.0,0.9,43.0,56500.0,Maximilian Arnold,4-2-3-1,Daniel Schlager,Match Report,,14.0,8.0,17.7,0.0,0,0,2024,Wolfsburg
26,2024-03-02,18:30,Bundesliga,Matchweek 24,Sat,Home,L,2,3,Stuttgart,0.8,1.1,42.0,25000.0,Maximilian Arnold,4-2-3-1,Benjamin Brand,Match Report,,12.0,2.0,15.8,0.0,0,0,2024,Wolfsburg
27,2024-03-10,19:30,Bundesliga,Matchweek 25,Sun,Away,L,0,2,Leverkusen,0.2,2.1,24.0,29314.0,Maximilian Arnold,3-4-3,Daniel Siebert,Match Report,,2.0,1.0,19.2,0.0,0,0,2024,Wolfsburg
28,2024-03-16,15:30,Bundesliga,Matchweek 26,Sat,Home,L,1,3,Augsburg,1.3,0.7,50.0,21735.0,Maximilian Arnold,4-4-2,Timo Gerach,Match Report,,15.0,4.0,14.6,0.0,0,0,2024,Wolfsburg
29,2024-03-30,15:30,Bundesliga,Matchweek 27,Sat,Away,W,2,0,Werder Bremen,2.3,0.5,51.0,41500.0,Maximilian Arnold,3-4-3,Sascha Stegemann,Match Report,,16.0,5.0,13.1,0.0,0,0,2024,Wolfsburg
30,2024-04-07,17:30,Bundesliga,Matchweek 28,Sun,Home,L,1,3,Gladbach,1.2,1.1,61.0,26105.0,Maximilian Arnold,4-4-2,Bastian Dankert,Match Report,,13.0,4.0,15.4,1.0,0,0,2024,Wolfsburg
31,2024-04-13,15:30,Bundesliga,Matchweek 29,Sat,Away,L,0,3,RB Leipzig,0.4,1.3,50.0,45858.0,Maximilian Arnold,3-4-3,Christian Dingert,Match Report,,10.0,3.0,23.5,0.0,0,0,2024,Wolfsburg
32,2024-04-20,15:30,Bundesliga,Matchweek 30,Sat,Home,W,1,0,Bochum,0.8,1.3,46.0,26327.0,Maximilian Arnold,4-4-2,Tobias Reichel,Match Report,,9.0,5.0,17.0,0.0,0,0,2024,Wolfsburg
33,2024-04-27,15:30,Bundesliga,Matchweek 31,Sat,Away,W,2,1,Freiburg,0.5,2.2,49.0,32800.0,Maximilian Arnold,3-4-3,Frank Willenborg,Match Report,,12.0,4.0,23.1,1.0,0,0,2024,Wolfsburg
34,2024-05-04,15:30,Bundesliga,Matchweek 32,Sat,Home,W,3,0,Darmstadt 98,2.2,0.4,53.0,23108.0,Maximilian Arnold,4-2-3-1,Robert Hartmann,Match Report,,21.0,7.0,18.5,2.0,0,0,2024,Wolfsburg
35,2024-05-12,17:30,Bundesliga,Matchweek 33,Sun,Away,L,0,2,Bayern Munich,0.2,0.3,41.0,75000.0,Maximilian Arnold,4-4-2,Bastian Dankert,Match Report,,5.0,2.0,32.6,0.0,0,0,2024,Wolfsburg
36,2024-05-18,15:30,Bundesliga,Matchweek 34,Sat,Home,L,1,3,Mainz 05,0.8,1.8,63.0,26627.0,Maximilian Arnold,3-4-3,Frank Willenborg,Match Report,,13.0,3.0,19.7,1.0,0,0,2024,Wolfsburg
1,2023-08-20,15:30,Bundesliga,Matchweek 1,Sun,Away,L,1,4,Union Berlin,2.3,1.9,53.0,22012.0,Robin Zentner,3-4-3,Tobias Stieler,Match Report,,8.0,1.0,18.5,0.0,0,2,2024,Mainz 05
2,2023-08-27,15:30,Bundesliga,Matchweek 2,Sun,Home,D,1,1,Eint Frankfurt,1.2,1.1,40.0,33305.0,Robin Zentner,3-4-3,Bastian Dankert,Match Report,,12.0,6.0,15.9,2.0,0,0,2024,Mainz 05
3,2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Away,L,0,4,Werder Bremen,0.5,2.7,55.0,41000.0,Robin Zentner,3-4-3,Robert Schröder,Match Report,,13.0,3.0,18.4,1.0,0,0,2024,Mainz 05
4,2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Home,L,1,3,Stuttgart,0.9,1.6,40.0,30500.0,Robin Zentner,3-4-3,Harm Osmers,Match Report,,15.0,3.0,17.1,0.0,0,0,2024,Mainz 05
5,2023-09-23,15:30,Bundesliga,Matchweek 5,Sat,Away,L,1,2,Augsburg,0.6,0.8,59.0,27310.0,Robin Zentner,3-4-3,Marco Fritz,Match Report,,12.0,2.0,18.0,0.0,0,0,2024,Mainz 05
6,2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Home,L,0,3,Leverkusen,0.5,1.1,45.0,33305.0,Robin Zentner,3-4-3,Benjamin Brand,Match Report,,10.0,3.0,18.7,1.0,0,0,2024,Mainz 05
7,2023-10-06,20:30,Bundesliga,Matchweek 7,Fri,Away,D,2,2,Gladbach,0.8,2.3,40.0,51529.0,Robin Zentner,3-4-3,Sven Jablonski,Match Report,,14.0,7.0,20.9,0.0,0,0,2024,Mainz 05
8,2023-10-21,18:30,Bundesliga,Matchweek 8,Sat,Home,L,1,3,Bayern Munich,1.1,1.8,38.0,33305.0,Robin Zentner,3-4-3,Sascha Stegemann,Match Report,,16.0,3.0,14.9,0.0,0,0,2024,Mainz 05
9,2023-10-27,20:30,Bundesliga,Matchweek 9,Fri,Away,D,2,2,Bochum,0.4,1.4,50.0,26000.0,Robin Zentner,3-4-3,Patrick Ittrich,Match Report,,9.0,3.0,19.6,0.0,0,0,2024,Mainz 05
11,2023-11-04,15:30,Bundesliga,Matchweek 10,Sat,Home,W,2,0,RB Leipzig,0.9,0.5,33.0,30100.0,Robin Zentner,3-4-3,Bastian Dankert,Match Report,,10.0,3.0,17.6,0.0,0,0,2024,Mainz 05
12,2023-11-11,15:30,Bundesliga,Matchweek 11,Sat,Away,D,0,0,Darmstadt 98,0.7,0.5,44.0,17810.0,Robin Zentner,3-4-3,Daniel Siebert,Match Report,,11.0,1.0,18.5,0.0,0,0,2024,Mainz 05
13,2023-11-26,17:30,Bundesliga,Matchweek 12,Sun,Away,D,1,1,Hoffenheim,1.8,1.2,47.0,22000.0,Silvan Widmer,4-2-3-1,Deniz Aytekin,Match Report,,13.0,4.0,22.3,2.0,0,1,2024,Mainz 05
14,2023-12-03,15:30,Bundesliga,Matchweek 13,Sun,Home,L,0,1,Freiburg,2.3,0.9,61.0,30300.0,Silvan Widmer,4-2-3-1,Tobias Stieler,Match Report,,20.0,5.0,13.9,0.0,0,0,2024,Mainz 05
15,2023-12-10,17:30,Bundesliga,Matchweek 14,Sun,Away,D,0,0,Köln,1.4,0.3,46.0,50000.0,Silvan Widmer,3-4-3,Frank Willenborg,Match Report,,13.0,5.0,14.6,0.0,0,0,2024,Mainz 05
16,2023-12-16,15:30,Bundesliga,Matchweek 15,Sat,Home,L,0,1,Heidenheim,1.6,0.5,65.0,27200.0,Dominik Kohr,4-2-2-2,Bastian Dankert,Match Report,,19.0,3.0,15.0,1.0,0,0,2024,Mainz 05
17,2023-12-19,20:30,Bundesliga,Matchweek 16,Tue,Away,D,1,1,Dortmund,0.9,1.2,35.0,80350.0,Silvan Widmer,3-4-3,Marco Fritz,Match Report,,11.0,6.0,20.3,1.0,0,0,2024,Mainz 05
18,2024-01-13,15:30,Bundesliga,Matchweek 17,Sat,Home,D,1,1,Wolfsburg,0.4,0.6,52.0,24000.0,Silvan Widmer,3-1-4-2,Patrick Ittrich,Match Report,,11.0,2.0,18.3,0.0,0,0,2024,Mainz 05
19,2024-01-26,20:30,Bundesliga,Matchweek 19,Fri,Away,L,0,1,Eint Frankfurt,0.8,1.3,45.0,58000.0,Silvan Widmer,3-5-2,Felix Zwayer,Match Report,,7.0,0.0,17.5,0.0,0,0,2024,Mainz 05
20,2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Home,L,0,1,Werder Bremen,0.8,0.6,59.0,31800.0,Silvan Widmer,4-2-3-1,Benjamin Brand,Match Report,,23.0,5.0,21.9,1.0,0,0,2024,Mainz 05
21,2024-02-07,18:30,Bundesliga,Matchweek 18,Wed,Home,D,1,1,Union Berlin,1.3,1.0,46.0,26200.0,Robin Zentner,4-3-3,Martin Petersen,Match Report,,16.0,6.0,14.6,2.0,0,0,2024,Mainz 05
22,2024-02-11,15:30,Bundesliga,Matchweek 21,Sun,Away,L,1,3,Stuttgart,1.4,1.9,39.0,52005.0,Robin Zentner,3-4-3,Deniz Aytekin,Match Report,,17.0,6.0,17.2,0.0,0,0,2024,Mainz 05
23,2024-02-17,15:30,Bundesliga,Matchweek 22,Sat,Home,W,1,0,Augsburg,2.1,1.0,46.0,24800.0,Robin Zentner,3-4-3,Tobias Reichel,Match Report,,17.0,4.0,16.7,0.0,0,1,2024,Mainz 05
24,2024-02-23,20:30,Bundesliga,Matchweek 23,Fri,Away,L,1,2,Leverkusen,1.1,1.1,33.0,30210.0,Silvan Widmer,3-4-3,Timo Gerach,Match Report,,13.0,4.0,20.3,0.0,0,0,2024,Mainz 05
25,2024-03-02,15:30,Bundesliga,Matchweek 24,Sat,Home,D,1,1,Gladbach,1.0,1.0,43.0,33305.0,Silvan Widmer,3-4-3,Robert Schröder,Match Report,,19.0,3.0,18.9,2.0,0,0,2024,Mainz 05
26,2024-03-09,15:30,Bundesliga,Matchweek 25,Sat,Away,L,1,8,Bayern Munich,0.8,6.2,41.0,75000.0,Silvan Widmer,3-4-3,Patrick Ittrich,Match Report,,14.0,2.0,20.2,1.0,0,0,2024,Mainz 05
27,2024-03-16,15:30,Bundesliga,Matchweek 26,Sat,Home,W,2,0,Bochum,2.5,0.7,50.0,33000.0,Robin Zentner,3-4-3,Matthias Jöllenbeck,Match Report,,14.0,3.0,19.0,0.0,1,1,2024,Mainz 05
28,2024-03-30,15:30,Bundesliga,Matchweek 27,Sat,Away,D,0,0,RB Leipzig,0.9,2.5,34.0,44813.0,Robin Zentner,3-4-3,Frank Willenborg,Match Report,,8.0,2.0,15.4,0.0,0,0,2024,Mainz 05
29,2024-04-06,15:30,Bundesliga,Matchweek 28,Sat,Home,W,4,0,Darmstadt 98,3.6,0.5,59.0,33000.0,Robin Zentner,3-4-3,Daniel Schlager,Match Report,,18.0,9.0,14.9,3.0,0,0,2024,Mainz 05
30,2024-04-13,15:30,Bundesliga,Matchweek 29,Sat,Home,W,4,1,Hoffenheim,2.1,0.5,47.0,31000.0,Robin Zentner,3-4-3,Felix Zwayer,Match Report,,25.0,8.0,17.5,0.0,0,0,2024,Mainz 05
31,2024-04-21,19:30,Bundesliga,Matchweek 30,Sun,Away,D,1,1,Freiburg,1.0,1.1,60.0,34300.0,Robin Zentner,3-4-3,Marco Fritz,Match Report,,16.0,3.0,18.9,1.0,0,0,2024,Mainz 05
32,2024-04-28,17:30,Bundesliga,Matchweek 31,Sun,Home,D,1,1,Köln,1.6,2.5,39.0,33305.0,Robin Zentner,3-4-3,Benjamin Brand,Match Report,,16.0,4.0,14.7,0.0,0,0,2024,Mainz 05
33,2024-05-05,19:30,Bundesliga,Matchweek 32,Sun,Away,D,1,1,Heidenheim,1.4,0.9,54.0,15000.0,Silvan Widmer,3-4-3,Sven Jablonski,Match Report,,10.0,3.0,14.8,0.0,0,0,2024,Mainz 05
34,2024-05-11,18:30,Bundesliga,Matchweek 33,Sat,Home,W,3,0,Dortmund,2.1,0.4,32.0,33305.0,Silvan Widmer,3-4-3,Tobias Stieler,Match Report,,14.0,6.0,15.8,2.0,0,0,2024,Mainz 05
35,2024-05-18,15:30,Bundesliga,Matchweek 34,Sat,Away,W,3,1,Wolfsburg,1.8,0.8,37.0,26627.0,Silvan Widmer,3-4-3,Frank Willenborg,Match Report,,12.0,6.0,16.7,0.0,0,0,2024,Mainz 05
1,2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Away,D,4,4,Augsburg,1.7,2.3,44.0,30660.0,Jonas Omlin,4-2-3-1,Daniel Schlager,Match Report,,9.0,4.0,17.0,0.0,1,1,2024,Monchengladbach
2,2023-08-26,18:30,Bundesliga,Matchweek 2,Sat,Home,L,0,3,Leverkusen,0.9,2.7,40.0,54042.0,Jonas Omlin,5-4-1,Christian Dingert,Match Report,,12.0,2.0,19.4,0.0,0,0,2024,Monchengladbach
3,2023-09-02,18:30,Bundesliga,Matchweek 3,Sat,Home,L,1,2,Bayern Munich,0.3,2.4,35.0,54042.0,Julian Weigl,4-1-4-1,Deniz Aytekin,Match Report,,7.0,3.0,24.5,1.0,0,0,2024,Monchengladbach
4,2023-09-17,17:30,Bundesliga,Matchweek 4,Sun,Away,D,3,3,Darmstadt 98,3.9,1.2,63.0,17810.0,Julian Weigl,4-2-3-1,Timo Gerach,Match Report,,21.0,9.0,16.0,0.0,0,1,2024,Monchengladbach
5,2023-09-23,15:30,Bundesliga,Matchweek 5,Sat,Home,L,0,1,RB Leipzig,0.8,0.7,45.0,50122.0,Julian Weigl,3-5-2,Robert Schröder,Match Report,,14.0,1.0,16.0,1.0,0,0,2024,Monchengladbach
6,2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Away,W,3,1,Bochum,2.9,1.7,42.0,26000.0,Julian Weigl,3-5-2,Felix Brych,Match Report,,27.0,8.0,15.3,0.0,0,0,2024,Monchengladbach
7,2023-10-06,20:30,Bundesliga,Matchweek 7,Fri,Home,D,2,2,Mainz 05,2.3,0.8,60.0,51529.0,Julian Weigl,3-5-2,Sven Jablonski,Match Report,,21.0,9.0,14.6,1.0,0,0,2024,Monchengladbach
8,2023-10-22,15:30,Bundesliga,Matchweek 8,Sun,Away,L,1,3,Köln,0.3,2.7,40.0,50000.0,Julian Weigl,3-5-2,Deniz Aytekin,Match Report,,5.0,2.0,21.4,1.0,0,0,2024,Monchengladbach
9,2023-10-28,15:30,Bundesliga,Matchweek 9,Sat,Home,W,2,1,Heidenheim,1.0,0.4,53.0,51541.0,Julian Weigl,4-2-3-1,Robert Hartmann,Match Report,,13.0,5.0,14.0,0.0,0,0,2024,Monchengladbach
11,2023-11-04,15:30,Bundesliga,Matchweek 10,Sat,Away,D,3,3,Freiburg,2.2,3.3,41.0,34700.0,Julian Weigl,4-4-1-1,Felix Brych,Match Report,,9.0,4.0,24.0,0.0,1,1,2024,Monchengladbach
12,2023-11-10,20:30,Bundesliga,Matchweek 11,Fri,Home,W,4,0,Wolfsburg,1.5,0.5,47.0,45308.0,Julian Weigl,3-5-2,Felix Zwayer,Match Report,,15.0,8.0,16.4,0.0,0,0,2024,Monchengladbach
13,2023-11-25,15:30,Bundesliga,Matchweek 12,Sat,Away,L,2,4,Dortmund,1.0,3.2,49.0,81365.0,Julian Weigl,3-5-2,Sven Jablonski,Match Report,,10.0,3.0,16.1,0.0,0,0,2024,Monchengladbach
14,2023-12-02,15:30,Bundesliga,Matchweek 13,Sat,Home,W,2,1,Hoffenheim,1.6,1.4,49.0,49341.0,Florian Neuhaus,3-5-1-1,Tobias Reichel,Match Report,,8.0,2.0,21.9,0.0,1,1,2024,Monchengladbach
16,2023-12-09,15:30,Bundesliga,Matchweek 14,Sat,Away,L,1,3,Union Berlin,1.1,2.1,62.0,22012.0,Julian Weigl,3-1-4-2,Martin Petersen,Match Report,,11.0,3.0,20.7,0.0,0,0,2024,Monchengladbach
17,2023-12-15,20:30,Bundesliga,Matchweek 15,Fri,Home,D,2,2,Werder Bremen,1.4,1.6,50.0,50660.0,Julian Weigl,3-5-2,Felix Zwayer,Match Report,,14.0,4.0,18.9,0.0,0,0,2024,Monchengladbach
18,2023-12-20,20:30,Bundesliga,Matchweek 16,Wed,Away,L,1,2,Eint Frankfurt,0.3,1.4,37.0,58000.0,Julian Weigl,3-4-3,Florian Badstübner,Match Report,,7.0,2.0,22.4,0.0,0,0,2024,Monchengladbach
19,2024-01-14,17:30,Bundesliga,Matchweek 17,Sun,Home,W,3,1,Stuttgart,1.9,0.9,29.0,53429.0,Julian Weigl,4-3-3,Harm Osmers,Match Report,,8.0,4.0,12.5,0.0,0,0,2024,Monchengladbach
20,2024-01-21,17:30,Bundesliga,Matchweek 18,Sun,Home,L,1,2,Augsburg,1.7,1.3,55.0,44867.0,Alassane Pléa,4-4-2,Martin Petersen,Match Report,,18.0,4.0,17.3,0.0,0,0,2024,Monchengladbach
21,2024-01-27,18:30,Bundesliga,Matchweek 19,Sat,Away,D,0,0,Leverkusen,0.3,2.9,25.0,30210.0,Julian Weigl,5-3-2,Deniz Aytekin,Match Report,,4.0,3.0,19.4,0.0,0,0,2024,Monchengladbach
22,2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Away,L,1,3,Bayern Munich,1.0,2.1,45.0,75000.0,Julian Weigl,4-1-4-1,Tobias Stieler,Match Report,,11.0,2.0,22.4,0.0,0,0,2024,Monchengladbach
23,2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Home,D,0,0,Darmstadt 98,1.5,0.7,58.0,46121.0,Julian Weigl,3-5-2,Sascha Stegemann,Match Report,,24.0,8.0,19.1,0.0,0,0,2024,Monchengladbach
24,2024-02-17,18:30,Bundesliga,Matchweek 22,Sat,Away,L,0,2,RB Leipzig,0.7,1.7,51.0,44822.0,Julian Weigl,3-5-2,Sören Storks,Match Report,,15.0,0.0,17.3,0.0,0,0,2024,Monchengladbach
25,2024-02-24,15:30,Bundesliga,Matchweek 23,Sat,Home,W,5,2,Bochum,3.5,1.6,48.0,53196.0,Julian Weigl,4-3-3,Frank Willenborg,Match Report,,21.0,5.0,16.9,0.0,1,1,2024,Monchengladbach
26,2024-03-02,15:30,Bundesliga,Matchweek 24,Sat,Away,D,1,1,Mainz 05,1.0,1.0,57.0,33305.0,Julian Weigl,4-3-3,Robert Schröder,Match Report,,14.0,5.0,16.1,0.0,0,0,2024,Monchengladbach
27,2024-03-09,15:30,Bundesliga,Matchweek 25,Sat,Home,D,3,3,Köln,1.8,0.6,58.0,54042.0,Julian Weigl,4-2-3-1,Felix Zwayer,Match Report,,17.0,5.0,13.9,0.0,0,0,2024,Monchengladbach
29,2024-03-16,15:30,Bundesliga,Matchweek 26,Sat,Away,D,1,1,Heidenheim,0.5,1.1,47.0,15000.0,Julian Weigl,4-3-3,Martin Petersen,Match Report,,7.0,2.0,20.5,0.0,0,0,2024,Monchengladbach
30,2024-03-30,15:30,Bundesliga,Matchweek 27,Sat,Home,L,0,3,Freiburg,1.5,1.7,54.0,53259.0,Jonas Omlin,4-2-3-1,Christian Dingert,Match Report,,19.0,3.0,13.4,0.0,0,0,2024,Monchengladbach
31,2024-04-07,17:30,Bundesliga,Matchweek 28,Sun,Away,W,3,1,Wolfsburg,1.1,1.2,39.0,26105.0,Julian Weigl,3-4-3,Bastian Dankert,Match Report,,10.0,6.0,14.7,0.0,0,0,2024,Monchengladbach
32,2024-04-13,15:30,Bundesliga,Matchweek 29,Sat,Home,L,1,2,Dortmund,1.1,1.3,46.0,54042.0,Jonas Omlin,3-4-3,Florian Badstübner,Match Report,,18.0,4.0,17.1,0.0,0,0,2024,Monchengladbach
33,2024-04-20,15:30,Bundesliga,Matchweek 30,Sat,Away,L,3,4,Hoffenheim,1.0,2.3,41.0,26078.0,Julian Weigl,5-4-1,Sören Storks,Match Report,,13.0,7.0,12.8,0.0,0,0,2024,Monchengladbach
34,2024-04-28,15:30,Bundesliga,Matchweek 31,Sun,Home,D,0,0,Union Berlin,0.9,1.0,52.0,53723.0,Alassane Pléa,3-4-3,Sascha Stegemann,Match Report,,13.0,4.0,15.4,0.0,0,0,2024,Monchengladbach
35,2024-05-04,15:30,Bundesliga,Matchweek 32,Sat,Away,D,2,2,Werder Bremen,1.9,1.4,44.0,42100.0,Julian Weigl,3-1-4-2,Timo Gerach,Match Report,,16.0,5.0,19.3,0.0,1,1,2024,Monchengladbach
36,2024-05-11,15:30,Bundesliga,Matchweek 33,Sat,Home,D,1,1,Eint Frankfurt,0.4,1.5,44.0,54042.0,Julian Weigl,3-5-2,Robert Schröder,Match Report,,6.0,3.0,20.6,0.0,0,0,2024,Monchengladbach
37,2024-05-18,15:30,Bundesliga,Matchweek 34,Sat,Away,L,0,4,Stuttgart,1.3,1.6,40.0,60000.0,Jonas Omlin,4-1-4-1,Daniel Schlager,Match Report,,14.0,5.0,16.4,0.0,0,0,2024,Monchengladbach
1,2023-08-20,15:30,Bundesliga,Matchweek 1,Sun,Home,W,4,1,Mainz 05,1.9,2.3,47.0,22012.0,Christopher Trimmel,5-3-2,Tobias Stieler,Match Report,,11.0,6.0,14.8,2.0,0,0,2024,Union Berlin
2,2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,W,4,1,Darmstadt 98,1.7,2.3,27.0,17810.0,Danilho Doekhi,3-5-2,Patrick Ittrich,Match Report,,13.0,6.0,15.3,0.0,0,0,2024,Union Berlin
3,2023-09-03,17:30,Bundesliga,Matchweek 3,Sun,Home,L,0,3,RB Leipzig,0.3,1.2,36.0,22012.0,Danilho Doekhi,3-4-3,Daniel Schlager,Match Report,,3.0,1.0,21.7,1.0,0,0,2024,Union Berlin
4,2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Away,L,1,2,Wolfsburg,1.1,0.4,56.0,21917.0,Christopher Trimmel,3-5-2,Felix Brych,Match Report,,19.0,6.0,14.8,0.0,0,0,2024,Union Berlin
